MissionId	RequiredItem1	RequiredItem2	RewardGold
1	fruit_1	null	50
2	vegetable_1	null	50
3	meat_1	null	60
4	fruit_2	vegetable_1	120
5	meat_2	fruit_2	150
6	vegetable_2	fruit_2	140
7	fruit_3	null	200
8	meat_3	null	210
9	vegetable_3	null	200
10	fruit_3	meat_2	250
11	vegetable_3	fruit_2	240
12	fruit_4	vegetable_3	300
13	meat_4	fruit_3	320
14	vegetable_4	meat_3	310
15	fruit_5	null	400
16	meat_5	null	420
17	vegetable_5	null	400
18	fruit_5	vegetable_4	450
19	meat_5	fruit_4	460
20	vegetable_5	meat_4	450
21	fruit_6	null	600
22	meat_6	null	620
23	vegetable_6	null	600
24	fruit_6	vegetable_5	700
25	meat_6	fruit_5	720
26	vegetable_6	meat_5	700
27	fruit_7	null	900
28	meat_7	null	920
29	vegetable_7	null	900
30	fruit_7	meat_7	1500
